Timestamp,Frame,Class,Center X,Center Y,X1,Y1,X2,Y2,Zoom
1746284174.4836643,30,1,126,106,0,0,252,212,-1
1746284176.6932082,60,1,124,103,0,0,249,206,-1
1746284178.9218552,90,1,125,104,0,0,250,209,-1
1746284181.1738322,120,1,124,103,0,0,249,207,-1
1746284181.1745963,120,1,318,391,49,303,587,479,-1
1746284183.419904,150,1,125,105,0,0,251,210,-1
1746284185.6752596,180,1,436,401,266,323,606,480,-1
1746284185.6759808,180,1,125,105,0,0,251,210,-1
1746284187.936577,210,1,126,104,0,0,252,208,-1
1746284190.1799293,240,1,124,104,0,0,249,208,-1
1746284196.7958732,330,1,308,345,4,210,612,480,-1
1746284199.0471594,360,1,309,356,6,232,613,480,-1
1746284201.2963088,390,1,303,350,0,220,606,480,-1
1746284220.813769,660,0,326,240,13,0,640,480,-1
1746284227.3476155,750,1,317,342,1,204,634,480,-1
1746284227.3483605,750,0,325,240,11,0,640,480,-1
1746284229.5992951,780,1,316,344,0,209,632,480,-1
1746284229.6000128,780,0,324,240,9,0,640,480,-1
1746284231.8415942,810,1,319,343,4,207,635,480,-1
1746284231.842304,810,0,325,240,10,0,640,480,-1
1746284236.3163397,870,0,327,240,15,0,640,480,-1
1746284236.3171,870,1,314,340,0,201,628,480,-1
1746284238.572653,900,1,315,346,1,213,629,480,-1
1746284243.010952,960,1,413,383,312,287,514,480,-1
1746284247.4494677,1020,1,419,379,298,280,540,479,-1
1746284251.9597178,1080,1,605,264,572,50,638,479,-1
1746284314.8629873,2010,1,535,334,431,189,640,479,-1
1746284322.9564772,2130,1,139,74,0,0,278,149,-1
1746284325.0046995,2160,1,138,75,0,0,277,150,-1
1746284325.005499,2160,1,325,326,61,172,589,480,-1
1746284329.0964584,2220,1,138,74,0,0,276,149,-1
1746284339.2707524,2370,1,137,75,0,0,275,151,-1
1746284339.27152,2370,1,342,328,94,177,591,480,-1
1746284343.383059,2430,1,138,76,0,0,277,153,-1
